name,closing_date,verification_date,institution,verification,guidelines,faq,state
CENTRALLY SPONSORED SCHEME OF PRE MATRIC SCHOLARSHIP FOR SC STUDENTS (CLASS IX & X) -PUDUCHERRY,Closed on 31-12-2023,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-02-15,https://www.scholarships.gov.in/public/schemeGuidelines/Puducherry/Pudu_3005_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Puducherry/Pudu_3005_F.pdf,PUDUCHERRY
CENTRALLY SPONSORED SCHEME OF POST MATRIC SCHOLARSHIP FOR SC STUDENTS-PUDUCHERRY,Closed on 31-12-2023,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-02-15,https://www.scholarships.gov.in/public/schemeGuidelines/Puducherry/Pudu_3006_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Puducherry/Pudu_3006_F.pdf,PUDUCHERRY
CENTRALLY SPONSORED SCHEME OF PRE MATRIC SCHOLARSHIP FOR NEEDY ST STUDENTS (CLASS IX & X) -PUDUCHERRY,Closed on 31-12-2023,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-02-15,https://www.scholarships.gov.in/public/schemeGuidelines/Puducherry/Pudu_3007_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Puducherry/Pudu_3007_F.pdf,PUDUCHERRY
CENTRALLY SPONSORED SCHEME OF POST MATRIC SCHOLARSHIP FOR ST STUDENTS-PUDUCHERRY,Closed on 31-12-2023,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-02-15,https://www.scholarships.gov.in/public/schemeGuidelines/Puducherry/Pudu_3008_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Puducherry/Pudu_3008_F.pdf,PUDUCHERRY
CENTRALLY SPONSORED SCHEME OF PRE MATRIC SCHOLARSHIP TO OBC STUDETNTS - PUDUCHERRY,Open till 20-01-2024,Open till 15-02-2024,Open till 15-02-2024,Open till 2024-03-15,https://www.scholarships.gov.in/public/schemeGuidelines/Puducherry/pre_matric_obc.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Puducherry/Pudu_3012_F.pdf,PUDUCHERRY
CENTRALLY SPONSORED SCHEME OF POST MATRIC SCHOLARSHIP TO OBC STUDETNTS -PUDUCHERRY,Open till 20-01-2024,Open till 15-02-2024,Open till 15-02-2024,Open till 2024-03-15,https://www.scholarships.gov.in/public/schemeGuidelines/Puducherry/Pudu_3013_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Puducherry/Pudu_3012_F.pdf,PUDUCHERRY
PRE MATRIC SCHOLARSHIP FOR SC STUDENTS (CLASS 6 to CLASS 10)-PUDUCHERRY,Closed on 31-12-2023,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-02-15,https://www.scholarships.gov.in/public/schemeGuidelines/Puducherry/Pudu_3016_G.pdf,https://www.scholarships.gov.in#,PUDUCHERRY
GRANT OF ADHOC MERIT GRANT TO SC STUDENTS-PUDUCHERRY,Closed on 31-12-2023,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-02-15,https://www.scholarships.gov.in/public/schemeGuidelines/Puducherry/Pudu_3018_G.pdf,https://www.scholarships.gov.in#,PUDUCHERRY
RETENTION SCHOLARSHIP TO SC GIRL STUDETNS-PUDUCHERRY,Closed on 31-12-2023,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-02-15,https://www.scholarships.gov.in/public/schemeGuidelines/Puducherry/Pudu_3019_G.pdf,https://www.scholarships.gov.in#,PUDUCHERRY
OPPORTUNITY COST TO PARENTS OF SC GIRL STUDENTS - PUDUCHERRY,Closed on 31-12-2023,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-02-15,https://www.scholarships.gov.in/public/schemeGuidelines/Puducherry/Pudu_3020_G.pdf,https://www.scholarships.gov.in#,PUDUCHERRY
